image,text
data/raw/newspaper/news_screenshot_016.png,کراچی کی تازہ خبریں
data/raw/newspaper/news_screenshot_017.png,اسلام آباد کی خبریں
data/raw/newspaper/news_screenshot_018.png,لاہور کی تازہ ترین خبریں
data/raw/newspaper/news_screenshot_019.png,انڈیا میں 20 روز سے بھوک ہڑتال
data/raw/newspaper/news_screenshot_020.png,امریکی حملوں کے بعد ایران کے مختلف علاقوں سے دھماکوں کی اطلاعات
data/raw/newspaper/news_screenshot_021.png,قیوم خان ملنگ پاکستان سے ملحقہ افغان صوبے میں
data/raw/newspaper/news_screenshot_022.png,ورلڈ کپ فائنل میں سپین کی فتح
data/raw/newspaper/news_screenshot_023.png,لارڈز میں رنز کی برسات انگلینڈ کا ریکارڈ ٹوٹل
data/raw/newspaper/news_screenshot_024.png,عوامی ایکشن کمیٹی کے بارے میں سوال نہ کریں
data/raw/newspaper/news_screenshot_025.png,انٹرویو کا ویڈیو کلپ وائرل ہونے کے بعد
data/raw/newspaper/news_screenshot_026.png,موقف سلطنت ایئر بیس ایرانی حملوں کا نشانہ
data/raw/newspaper/news_screenshot_027.png,پاکستان میں غیر قانونی طور پر مقیم افغان پناہ گزینوں کی بیدخلی
data/raw/newspaper/news_screenshot_028.png,سعودی عرب میں گیس سلنڈر دھماکے میں ہلاک ہونے والے پانچ پاکستانی دوست
data/raw/newspaper/news_screenshot_029.png,انڈین خلائی ادارے کے سائنسدان استعفے کیوں دے رہے ہیں
data/raw/newspaper/news_screenshot_030.png,مراکش تیونس اور ترکی ایران امریکہ جنگ کی وجہ سے کن ممالک میں سیاحت سستی ہوئی
data/raw/newspaper/news_screenshot_031.png,فٹ بال ورلڈ کپ فائنل یمال کے عروج اور میسی کے ممکنہ الوداع کی کہانی
data/raw/other/ravi_001.png,ء
data/raw/other/ravi_002.png,ء
data/raw/other/ravi_003.png,ء
data/raw/other/ravi_004.png,آ
data/raw/other/ravi_005.png,آ
data/raw/other/ravi_006.png,آ
data/raw/other/ravi_007.png,ا
data/raw/other/ravi_008.png,ا
data/raw/other/ravi_009.png,ا
data/raw/other/ravi_010.png,ب
data/raw/other/ravi_011.png,ب
data/raw/other/ravi_012.png,ب
data/raw/other/ravi_013.png,ت
data/raw/other/ravi_014.png,ت
data/raw/other/ravi_015.png,ت
data/raw/other/ravi_016.png,ث
data/raw/other/ravi_017.png,ث
data/raw/other/ravi_018.png,ث
data/raw/other/ravi_019.png,ج
data/raw/other/ravi_020.png,ج
data/raw/other/ravi_021.png,ج
data/raw/other/ravi_022.png,ح
data/raw/other/ravi_023.png,ح
data/raw/other/ravi_024.png,ح
data/raw/other/ravi_025.png,خ
data/raw/other/ravi_026.png,خ
data/raw/other/ravi_027.png,خ
data/raw/other/ravi_028.png,د
data/raw/other/ravi_029.png,د
data/raw/other/ravi_030.png,د
data/raw/other/ravi_031.png,ذ
data/raw/other/ravi_032.png,ذ
data/raw/other/ravi_033.png,ذ
data/raw/other/ravi_034.png,ر
data/raw/other/ravi_035.png,ر
data/raw/other/ravi_036.png,ر
data/raw/other/ravi_037.png,ز
data/raw/other/ravi_038.png,ز
data/raw/other/ravi_039.png,ز
data/raw/other/ravi_040.png,س
data/raw/other/ravi_041.png,س
data/raw/other/ravi_042.png,س
data/raw/other/ravi_043.png,ش
data/raw/other/ravi_044.png,ش
data/raw/other/ravi_045.png,ش
data/raw/other/ravi_046.png,ص
data/raw/other/ravi_047.png,ص
data/raw/other/ravi_048.png,ص
data/raw/other/ravi_049.png,ض
